DATE, VALUE
1975-01-01,18.8446
1975-02-01,18.6972
1975-03-01,18.6382
1975-04-01,18.5498
1975-05-01,18.4614
1975-06-01,18.314
1975-07-01,18.1175
1975-08-01,18.0586
1975-09-01,17.9701
1975-10-01,17.8817
1975-11-01,17.7638
1975-12-01,17.6754
1976-01-01,17.6459
1976-02-01,17.587
1976-03-01,17.5575
1976-04-01,17.4985
1976-05-01,17.3806
1976-06-01,17.2922
1976-07-01,17.1743
1976-08-01,17.1153
1976-09-01,17.0269
1976-10-01,16.968
1976-11-01,16.909
1976-12-01,16.8795
1977-01-01,16.7616
1977-02-01,16.6143
1977-03-01,16.4964
1977-04-01,16.3785
1977-05-01,16.29
1977-06-01,16.1721
1977-07-01,16.1132
1977-08-01,16.0542
1977-09-01,15.9658
1977-10-01,15.9363
1977-11-01,15.8479
1977-12-01,15.789
1978-01-01,15.7005
1978-02-01,15.6121
1978-03-01,15.4942
1978-04-01,15.3468
1978-05-01,15.1994
1978-06-01,15.0521
1978-07-01,14.9342
1978-08-01,14.8752
1978-09-01,14.7573
1978-10-01,14.6394
1978-11-01,14.551
1978-12-01,14.492
1979-01-01,14.3741
1979-02-01,14.2071
1979-03-01,14.0597
1979-04-01,13.9124
1979-05-01,13.7355
1979-06-01,13.5881
1979-07-01,13.4408
1979-08-01,13.2934
1979-09-01,13.1755
1979-10-01,13.0576
1979-11-01,12.9397
1979-12-01,12.7923
1980-01-01,12.6154
1980-02-01,12.4386
1980-03-01,12.2617
1980-04-01,12.1144
1980-05-01,11.9965
1980-06-01,11.8786
1980-07-01,11.8786
1980-08-01,11.7901
1980-09-01,11.6722
1980-10-01,11.5838
1980-11-01,11.4659
1980-12-01,11.3775
1981-01-01,11.2891
1981-02-01,11.1712
1981-03-01,11.0827
1981-04-01,11.0238
1981-05-01,10.9354
1981-06-01,10.8469
1981-07-01,10.6995
1981-08-01,10.6406
1981-09-01,10.5227
1981-10-01,10.4932
1981-11-01,10.4637
1981-12-01,10.4343
1982-01-01,10.4048
1982-02-01,10.3753
1982-03-01,10.3753
1982-04-01,10.3458
1982-05-01,10.2279
1982-06-01,10.1199
1982-07-01,10.0609
1982-08-01,10.0609
1982-09-01,10.0314
1982-10-01,10.002
1982-11-01,10.0314
1982-12-01,10.0609
1983-01-01,10.0314
1983-02-01,10.0314
1983-03-01,10.0314
1983-04-01,9.94301
1983-05-01,9.91354
1983-06-01,9.85459
1983-07-01,9.82511
1983-08-01,9.79564
1983-09-01,9.73669
1983-10-01,9.70721
1983-11-01,9.70721
1983-12-01,9.67774
1984-01-01,9.64826
1984-02-01,9.58931
1984-03-01,9.55983
1984-04-01,9.53036
1984-05-01,9.50088
1984-06-01,9.47141
1984-07-01,9.44193
1984-08-01,9.38298
1984-09-01,9.35351
1984-10-01,9.32403
1984-11-01,9.32403
1984-12-01,9.32403
1985-01-01,9.29456
1985-02-01,9.26508
1985-03-01,9.23561
1985-04-01,9.17666
1985-05-01,9.14718
1985-06-01,9.1177
1985-07-01,9.1177
1985-08-01,9.08823
1985-09-01,9.05875
1985-10-01,9.02928
1985-11-01,8.9998
1985-12-01,8.97033
1986-01-01,8.97033
1986-02-01,8.97033
1986-03-01,9.02928
1986-04-01,9.02928
1986-05-01,8.9998
1986-06-01,8.97033
1986-07-01,8.97033
1986-08-01,8.94085
1986-09-01,8.91138
1986-10-01,8.91138
1986-11-01,8.8819
1986-12-01,8.8819
1987-01-01,8.83278
1987-02-01,8.79348
1987-03-01,8.75418
1987-04-01,8.70505
1987-05-01,8.6854
1987-06-01,8.6461
1987-07-01,8.62645
1987-08-01,8.57732
1987-09-01,8.53802
1987-10-01,8.51837
1987-11-01,8.49872
1987-12-01,8.50855
1988-01-01,8.4889
1988-02-01,8.46925
1988-03-01,8.42995
1988-04-01,8.39065
1988-05-01,8.36117
1988-06-01,8.32187
1988-07-01,8.2924
1988-08-01,8.25309
1988-09-01,8.20397
1988-10-01,8.17449
1988-11-01,8.16467
1988-12-01,8.15484
1989-01-01,8.11554
1989-02-01,8.08607
1989-03-01,8.03694
1989-04-01,7.97799
1989-05-01,7.93869
1989-06-01,7.91904
1989-07-01,7.89939
1989-08-01,7.88957
1989-09-01,7.86009
1989-10-01,7.82079
1989-11-01,7.81096
1989-12-01,7.79131
1990-01-01,7.71271
1990-02-01,7.68324
1990-03-01,7.63411
1990-04-01,7.62429
1990-05-01,7.60464
1990-06-01,7.56534
1990-07-01,7.53586
1990-08-01,7.46709
1990-09-01,7.40814
1990-10-01,7.35901
1990-11-01,7.34918
1990-12-01,7.33936
1991-01-01,7.30006
1991-02-01,7.29023
1991-03-01,7.28041
1991-04-01,7.26076
1991-05-01,7.24111
1991-06-01,7.22146
1991-07-01,7.21163
1991-08-01,7.19198
1991-09-01,7.16251
1991-10-01,7.15268
1991-11-01,7.13303
1991-12-01,7.12321
1992-01-01,7.11338
1992-02-01,7.09373
1992-03-01,7.05443
1992-04-01,7.04461
1992-05-01,7.03478
1992-06-01,7.00531
1992-07-01,6.99548
1992-08-01,6.97583
1992-09-01,6.95618
1992-10-01,6.9267
1992-11-01,6.91688
1992-12-01,6.9267
1993-01-01,6.8874
1993-02-01,6.86775
1993-03-01,6.8481
1993-04-01,6.82845
1993-05-01,6.8088
1993-06-01,6.8088
1993-07-01,6.79898
1993-08-01,6.77933
1993-09-01,6.7695
1993-10-01,6.74003
1993-11-01,6.74003
1993-12-01,6.74003
1994-01-01,6.72038
1994-02-01,6.70073
1994-03-01,6.67125
1994-04-01,6.67125
1994-05-01,6.66143
1994-06-01,6.64178
1994-07-01,6.62213
1994-08-01,6.59265
1994-09-01,6.573
1994-10-01,6.573
1994-11-01,6.56318
1994-12-01,6.56318
1995-01-01,6.5337
1995-02-01,6.51405
1995-03-01,6.48457
1995-04-01,6.46492
1995-05-01,6.4551
1995-06-01,6.44527
1995-07-01,6.44527
1995-08-01,6.42562
1995-09-01,6.4158
1995-10-01,6.39615
1995-11-01,6.39615
1995-12-01,6.39615
1996-01-01,6.36667
1996-02-01,6.3372
1996-03-01,6.30772
1996-04-01,6.28807
1996-05-01,6.27825
1996-06-01,6.26842
1996-07-01,6.2586
1996-08-01,6.24877
1996-09-01,6.22912
1996-10-01,6.20947
1996-11-01,6.19965
1996-12-01,6.19965
1997-01-01,6.17017
1997-02-01,6.15052
1997-03-01,6.1407
1997-04-01,6.13087
1997-05-01,6.1407
1997-06-01,6.13087
1997-07-01,6.12105
1997-08-01,6.11122
1997-09-01,6.09157
1997-10-01,6.08174
1997-11-01,6.08174
1997-12-01,6.09157
1998-01-01,6.08174
1998-02-01,6.07192
1998-03-01,6.06209
1998-04-01,6.04244
1998-05-01,6.03262
1998-06-01,6.03262
1998-07-01,6.02279
1998-08-01,6.01297
1998-09-01,6.00314
1998-10-01,5.99332
1998-11-01,5.99332
1998-12-01,5.99332
1999-01-01,5.97367
1999-02-01,5.97367
1999-03-01,5.95402
1999-04-01,5.91472
1999-05-01,5.91472
1999-06-01,5.91472
1999-07-01,5.89507
1999-08-01,5.87542
1999-09-01,5.85577
1999-10-01,5.83612
1999-11-01,5.83612
1999-12-01,5.83612
2000-01-01,5.81647
2000-02-01,5.78699
2000-03-01,5.73787
2000-04-01,5.73787
2000-05-01,5.72804
2000-06-01,5.69857
2000-07-01,5.68874
2000-08-01,5.68874
2000-09-01,5.65927
2000-10-01,5.64944
2000-11-01,5.63961
2000-12-01,5.64944
2001-01-01,5.61014
2001-02-01,5.59049
2001-03-01,5.57084
2001-04-01,5.55119
2001-05-01,5.53154
2001-06-01,5.52171
2001-07-01,5.53154
2001-08-01,5.53154
2001-09-01,5.51189
2001-10-01,5.53154
2001-11-01,5.54136
2001-12-01,5.56101
2002-01-01,5.55119
2002-02-01,5.52171
2002-03-01,5.49224
2002-04-01,5.46276
2002-05-01,5.46276
2002-06-01,5.46276
2002-07-01,5.45294
2002-08-01,5.44311
2002-09-01,5.43329
2002-10-01,5.42346
2002-11-01,5.42346
2002-12-01,5.43329
2003-01-01,5.40381
2003-02-01,5.36451
2003-03-01,5.33504
2003-04-01,5.34486
2003-05-01,5.35469
2003-06-01,5.34486
2003-07-01,5.34486
2003-08-01,5.32521
2003-09-01,5.30556
2003-10-01,5.30556
2003-11-01,5.32521
2003-12-01,5.33504
2004-01-01,5.30556
2004-02-01,5.27609
2004-03-01,5.24661
2004-04-01,5.22696
2004-05-01,5.19748
2004-06-01,5.17783
2004-07-01,5.18766
2004-08-01,5.18766
2004-09-01,5.17783
2004-10-01,5.14836
2004-11-01,5.14836
2004-12-01,5.15818
2005-01-01,5.14836
2005-02-01,5.11888
2005-03-01,5.07958
2005-04-01,5.05011
2005-05-01,5.05011
2005-06-01,5.05011
2005-07-01,5.03046
2005-08-01,5.00098
2005-09-01,4.94203
2005-10-01,4.93221
2005-11-01,4.97151
2005-12-01,4.99116
2006-01-01,4.95186
2006-02-01,4.94203
2006-03-01,4.91256
2006-04-01,4.87326
2006-05-01,4.85361
2006-06-01,4.84378
2006-07-01,4.82413
2006-08-01,4.81431
2006-09-01,4.84378
2006-10-01,4.86343
2006-11-01,4.87326
2006-12-01,4.87326
2007-01-01,4.85361
2007-02-01,4.82413
2007-03-01,4.78483
2007-04-01,4.75535
2007-05-01,4.72588
2007-06-01,4.71605
2007-07-01,4.71605
2007-08-01,4.72588
2007-09-01,4.71605
2007-10-01,4.70623
2007-11-01,4.67675
2007-12-01,4.67675
2008-01-01,4.6571
2008-02-01,4.63745
2008-03-01,4.59815
2008-04-01,4.56868
2008-05-01,4.5392
2008-06-01,4.49008
2008-07-01,4.47043
2008-08-01,4.48025
2008-09-01,4.49008
2008-10-01,4.5392
2008-11-01,4.62763
2008-12-01,4.67675
2009-01-01,4.6571
2009-02-01,4.62763
2009-03-01,4.6178
2009-04-01,4.60798
2009-05-01,4.59815
2009-06-01,4.55885
2009-07-01,4.55885
2009-08-01,4.54903
2009-09-01,4.54903
2009-10-01,4.54903
2009-11-01,4.5392
2009-12-01,4.54903
2010-01-01,4.52938
2010-02-01,4.52938
2010-03-01,4.50973
2010-04-01,4.50973
2010-05-01,4.4999
2010-06-01,4.50973
2010-07-01,4.50973
